event_type,log_feature,volume,resource_type,severity_type
event_type 11,feature 75,8,resource_type 8,severity_type 2
event_type 42,feature 283,3,resource_type 2,severity_type 1
event_type 34,feature 312,13,resource_type 2,severity_type 2
event_type 11,feature 68,2,resource_type 8,severity_type 1
event_type 35,feature 235,4,resource_type 2,severity_type 2
event_type 15,feature 82,44,resource_type 8,severity_type 1
event_type 34,feature 313,5,resource_type 2,severity_type 2
event_type 34,feature 233,2,resource_type 2,severity_type 2
event_type 11,feature 80,1,resource_type 2,severity_type 1
event_type 15,feature 82,47,resource_type 8,severity_type 2
event_type 44,feature 293,15,resource_type 2,severity_type 1
event_type 15,feature 82,6,resource_type 8,severity_type 2
event_type 39,feature 383,1,resource_type 9,severity_type 1
event_type 34,feature 313,1,resource_type 2,severity_type 2
event_type 34,feature 309,1,resource_type 2,severity_type 2
event_type 35,feature 227,1,resource_type 2,severity_type 2
event_type 26,feature 276,1,resource_type 8,severity_type 2
event_type 43,feature 291,3,resource_type 2,severity_type 1
event_type 34,feature 234,11,resource_type 2,severity_type 2
event_type 44,feature 375,11,resource_type 2,severity_type 1
event_type 11,feature 304,1,resource_type 4,severity_type 1
event_type 35,feature 232,1,resource_type 2,severity_type 2
event_type 15,feature 203,7,resource_type 8,severity_type 2
event_type 34,feature 232,2,resource_type 2,severity_type 2
event_type 44,feature 368,11,resource_type 2,severity_type 1
event_type 34,feature 232,1,resource_type 2,severity_type 2
event_type 34,feature 312,5,resource_type 2,severity_type 2
event_type 44,feature 290,4,resource_type 2,severity_type 1
event_type 11,feature 209,1,resource_type 8,severity_type 1
event_type 11,feature 221,1,resource_type 8,severity_type 1
event_type 34,feature 312,177,resource_type 2,severity_type 2
event_type 11,feature 62,1,resource_type 8,severity_type 1
event_type 11,feature 170,2,resource_type 8,severity_type 1
event_type 20,feature 134,2,resource_type 2,severity_type 1
event_type 54,feature 80,8,resource_type 8,severity_type 1
event_type 14,feature 222,1,resource_type 6,severity_type 1
event_type 14,feature 30,1,resource_type 2,severity_type 1
event_type 35,feature 134,1,resource_type 2,severity_type 1
event_type 23,feature 306,1,resource_type 7,severity_type 2
event_type 34,feature 181,1,resource_type 8,severity_type 2
event_type 20,feature 134,1,resource_type 7,severity_type 1
event_type 13,feature 68,13,resource_type 6,severity_type 1
event_type 20,feature 134,1,resource_type 8,severity_type 1
event_type 11,feature 171,14,resource_type 8,severity_type 1
event_type 10,feature 240,1,resource_type 9,severity_type 1
event_type 15,feature 82,75,resource_type 8,severity_type 1
event_type 54,feature 82,8,resource_type 2,severity_type 1
event_type 20,feature 306,1,resource_type 2,severity_type 1
event_type 11,feature 350,1,resource_type 8,severity_type 1
event_type 35,feature 315,1,resource_type 2,severity_type 2
event_type 34,feature 309,22,resource_type 2,severity_type 2
event_type 11,feature 305,2,resource_type 8,severity_type 1
event_type 35,feature 227,7,resource_type 2,severity_type 2
event_type 20,feature 133,2,resource_type 2,severity_type 1
event_type 11,feature 306,2,resource_type 7,severity_type 1
event_type 11,feature 181,1,resource_type 2,severity_type 1
event_type 35,feature 160,1,resource_type 2,severity_type 1
event_type 23,feature 306,1,resource_type 2,severity_type 1
event_type 11,feature 134,1,resource_type 2,severity_type 1
event_type 35,feature 312,1,resource_type 2,severity_type 2
event_type 11,feature 201,24,resource_type 1,severity_type 1
event_type 35,feature 312,2,resource_type 2,severity_type 2
event_type 34,feature 234,27,resource_type 2,severity_type 2
event_type 23,feature 90,1,resource_type 7,severity_type 1
event_type 34,feature 307,1,resource_type 2,severity_type 2
event_type 11,feature 80,6,resource_type 8,severity_type 1
event_type 20,feature 312,10,resource_type 2,severity_type 1
event_type 23,feature 306,1,resource_type 8,severity_type 1
event_type 11,feature 54,1,resource_type 8,severity_type 1
event_type 20,feature 219,1,resource_type 8,severity_type 1
event_type 22,feature 306,1,resource_type 8,severity_type 1
event_type 34,feature 235,2,resource_type 2,severity_type 2
event_type 34,feature 312,1,resource_type 2,severity_type 2
event_type 11,feature 71,1,resource_type 8,severity_type 1
event_type 11,feature 193,2,resource_type 8,severity_type 1
event_type 13,feature 273,1,resource_type 6,severity_type 1
event_type 35,feature 228,1,resource_type 2,severity_type 2
event_type 15,feature 203,1,resource_type 8,severity_type 1
event_type 18,feature 273,2,resource_type 10,severity_type 1
event_type 44,feature 283,2,resource_type 2,severity_type 1
event_type 20,feature 134,1,resource_type 2,severity_type 1
event_type 35,feature 232,2,resource_type 2,severity_type 2
event_type 35,feature 314,2,resource_type 2,severity_type 2
event_type 11,feature 314,2,resource_type 8,severity_type 1
event_type 35,feature 308,9,resource_type 2,severity_type 2
event_type 23,feature 306,1,resource_type 8,severity_type 1
event_type 34,feature 312,4,resource_type 2,severity_type 2
event_type 35,feature 235,5,resource_type 2,severity_type 2
event_type 34,feature 307,2,resource_type 2,severity_type 2
event_type 11,feature 273,4,resource_type 2,severity_type 1
event_type 15,feature 56,2,resource_type 2,severity_type 1
event_type 15,feature 71,2,resource_type 8,severity_type 2
event_type 23,feature 58,1,resource_type 8,severity_type 1
event_type 11,feature 54,9,resource_type 6,severity_type 1
event_type 11,feature 318,4,resource_type 2,severity_type 1
event_type 14,feature 68,1,resource_type 8,severity_type 1
event_type 42,feature 376,13,resource_type 2,severity_type 1
event_type 34,feature 315,1,resource_type 2,severity_type 2
event_type 20,feature 154,1,resource_type 2,severity_type 1
event_type 13,feature 273,1,resource_type 6,severity_type 1
event_type 35,feature 312,18,resource_type 2,severity_type 2
event_type 34,feature 312,1,resource_type 2,severity_type 2
event_type 15,feature 71,6,resource_type 8,severity_type 1
event_type 11,feature 170,2,resource_type 8,severity_type 2
event_type 20,feature 219,9,resource_type 8,severity_type 1
event_type 11,feature 206,6,resource_type 8,severity_type 1
event_type 34,feature 232,16,resource_type 2,severity_type 2
event_type 35,feature 228,3,resource_type 2,severity_type 2
event_type 15,feature 80,5,resource_type 8,severity_type 2
event_type 34,feature 312,1,resource_type 2,severity_type 2
event_type 20,feature 219,1,resource_type 2,severity_type 1
event_type 11,feature 74,1,resource_type 8,severity_type 1
event_type 35,feature 313,47,resource_type 2,severity_type 2
event_type 11,feature 71,1,resource_type 8,severity_type 1
event_type 13,feature 170,1,resource_type 6,severity_type 1
event_type 20,feature 134,1,resource_type 2,severity_type 1
event_type 34,feature 234,2,resource_type 2,severity_type 2
event_type 11,feature 70,2,resource_type 8,severity_type 2
event_type 34,feature 229,48,resource_type 2,severity_type 2
event_type 11,feature 55,1,resource_type 5,severity_type 1
event_type 13,feature 273,1,resource_type 8,severity_type 1
event_type 11,feature 235,2,resource_type 2,severity_type 1
event_type 23,feature 222,8,resource_type 7,severity_type 1
event_type 35,feature 94,4,resource_type 2,severity_type 1
event_type 11,feature 182,1,resource_type 8,severity_type 1
event_type 9,feature 219,2,resource_type 8,severity_type 1
event_type 34,feature 232,1,resource_type 2,severity_type 2
event_type 35,feature 315,2,resource_type 2,severity_type 2
event_type 35,feature 312,6,resource_type 2,severity_type 2
event_type 11,feature 54,4,resource_type 4,severity_type 1
event_type 34,feature 354,1,resource_type 8,severity_type 1
event_type 11,feature 81,2,resource_type 8,severity_type 1
event_type 11,feature 71,2,resource_type 8,severity_type 1
event_type 11,feature 219,1,resource_type 8,severity_type 1
event_type 11,feature 345,1,resource_type 8,severity_type 1
event_type 11,feature 71,6,resource_type 2,severity_type 1
event_type 11,feature 73,11,resource_type 8,severity_type 1
event_type 35,feature 44,1,resource_type 2,severity_type 1
event_type 15,feature 137,1,resource_type 8,severity_type 1
event_type 11,feature 75,8,resource_type 7,severity_type 2
event_type 54,feature 198,3,resource_type 8,severity_type 1
event_type 20,feature 54,9,resource_type 4,severity_type 1
event_type 35,feature 312,5,resource_type 2,severity_type 2
event_type 34,feature 307,1,resource_type 2,severity_type 2
event_type 34,feature 311,6,resource_type 2,severity_type 2
event_type 43,feature 376,1,resource_type 2,severity_type 2
event_type 11,feature 203,11,resource_type 2,severity_type 1
event_type 35,feature 310,3,resource_type 2,severity_type 2
event_type 14,feature 68,1,resource_type 2,severity_type 1
event_type 44,feature 283,43,resource_type 2,severity_type 1
event_type 35,feature 312,3,resource_type 2,severity_type 2
event_type 34,feature 313,6,resource_type 2,severity_type 2
event_type 32,feature 170,1,resource_type 8,severity_type 1
event_type 42,feature 290,5,resource_type 2,severity_type 1
event_type 44,feature 290,4,resource_type 2,severity_type 1
event_type 23,feature 306,2,resource_type 2,severity_type 1
event_type 35,feature 312,6,resource_type 2,severity_type 2
event_type 34,feature 312,4,resource_type 2,severity_type 2
event_type 35,feature 232,1,resource_type 2,severity_type 2
event_type 44,feature 283,34,resource_type 2,severity_type 1
event_type 35,feature 229,1,resource_type 2,severity_type 2
event_type 34,feature 234,2,resource_type 2,severity_type 2
event_type 34,feature 235,38,resource_type 2,severity_type 2
event_type 14,feature 163,3,resource_type 8,severity_type 1
event_type 35,feature 315,1,resource_type 2,severity_type 2
event_type 35,feature 227,1,resource_type 2,severity_type 2
event_type 35,feature 232,4,resource_type 2,severity_type 2
event_type 20,feature 305,1,resource_type 8,severity_type 1
event_type 54,feature 219,1,resource_type 2,severity_type 1
event_type 35,feature 228,23,resource_type 2,severity_type 2
event_type 43,feature 368,1,resource_type 2,severity_type 1
event_type 35,feature 301,2,resource_type 2,severity_type 1
event_type 11,feature 306,1,resource_type 7,severity_type 1
event_type 11,feature 193,2,resource_type 8,severity_type 1
event_type 11,feature 82,2,resource_type 8,severity_type 1
event_type 35,feature 227,2,resource_type 2,severity_type 2
event_type 35,feature 312,1,resource_type 2,severity_type 2
event_type 35,feature 313,2,resource_type 2,severity_type 2
event_type 23,feature 75,1,resource_type 7,severity_type 2
event_type 34,feature 233,2,resource_type 2,severity_type 2
event_type 23,feature 134,1,resource_type 7,severity_type 1
event_type 22,feature 54,4,resource_type 2,severity_type 1
event_type 11,feature 305,1,resource_type 8,severity_type 2
event_type 20,feature 312,1,resource_type 8,severity_type 1
event_type 35,feature 232,3,resource_type 2,severity_type 2
event_type 35,feature 311,2,resource_type 2,severity_type 2
event_type 18,feature 258,1,resource_type 10,severity_type 1
event_type 35,feature 315,1,resource_type 2,severity_type 4
event_type 22,feature 222,1,resource_type 7,severity_type 2
event_type 35,feature 232,3,resource_type 2,severity_type 2
event_type 11,feature 202,10,resource_type 8,severity_type 1
event_type 34,feature 312,3,resource_type 2,severity_type 2
event_type 11,feature 81,8,resource_type 8,severity_type 2
event_type 34,feature 234,1,resource_type 2,severity_type 2
event_type 11,feature 55,2,resource_type 5,severity_type 1
event_type 43,feature 375,6,resource_type 2,severity_type 1
event_type 34,feature 235,1,resource_type 2,severity_type 2
event_type 15,feature 56,2,resource_type 8,severity_type 2
event_type 35,feature 307,2,resource_type 2,severity_type 2
event_type 34,feature 308,2,resource_type 2,severity_type 2
event_type 34,feature 312,1,resource_type 2,severity_type 2
event_type 20,feature 68,1,resource_type 8,severity_type 1
event_type 20,feature 222,2,resource_type 6,severity_type 1
event_type 11,feature 94,2,resource_type 2,severity_type 1
event_type 35,feature 44,1,resource_type 8,severity_type 1
event_type 20,feature 305,1,resource_type 4,severity_type 1
event_type 22,feature 306,9,resource_type 8,severity_type 1
event_type 20,feature 169,2,resource_type 4,severity_type 1
event_type 43,feature 368,4,resource_type 2,severity_type 1
event_type 34,feature 307,2,resource_type 2,severity_type 1
event_type 34,feature 312,34,resource_type 2,severity_type 2
event_type 34,feature 232,2,resource_type 2,severity_type 2
event_type 26,feature 193,1,resource_type 9,severity_type 2
event_type 42,feature 283,27,resource_type 2,severity_type 1
event_type 35,feature 314,2,resource_type 2,severity_type 4
event_type 23,feature 222,1,resource_type 7,severity_type 2
event_type 11,feature 312,6,resource_type 8,severity_type 1
event_type 23,feature 223,4,resource_type 8,severity_type 1
event_type 11,feature 82,2,resource_type 8,severity_type 1
event_type 35,feature 315,1,resource_type 2,severity_type 2
event_type 15,feature 71,2,resource_type 8,severity_type 1
event_type 35,feature 312,2,resource_type 2,severity_type 1
event_type 35,feature 219,2,resource_type 2,severity_type 1
event_type 20,feature 374,2,resource_type 2,severity_type 1
event_type 11,feature 68,4,resource_type 6,severity_type 1
event_type 15,feature 201,1,resource_type 8,severity_type 2
event_type 54,feature 222,1,resource_type 8,severity_type 1
event_type 35,feature 314,4,resource_type 2,severity_type 2
event_type 11,feature 179,1,resource_type 8,severity_type 2
event_type 35,feature 232,2,resource_type 2,severity_type 2
event_type 22,feature 89,1,resource_type 8,severity_type 1
event_type 11,feature 54,3,resource_type 8,severity_type 2
event_type 34,feature 312,3,resource_type 2,severity_type 2
event_type 35,feature 312,3,resource_type 2,severity_type 2
event_type 11,feature 179,14,resource_type 4,severity_type 1
event_type 44,feature 283,17,resource_type 2,severity_type 1
event_type 35,feature 312,1,resource_type 2,severity_type 2
event_type 11,feature 172,1,resource_type 8,severity_type 1
event_type 11,feature 154,1,resource_type 9,severity_type 1
event_type 34,feature 231,2,resource_type 2,severity_type 2
event_type 15,feature 80,8,resource_type 2,severity_type 1
event_type 35,feature 232,1,resource_type 2,severity_type 2
event_type 35,feature 307,2,resource_type 2,severity_type 2
event_type 54,feature 56,2,resource_type 2,severity_type 1
event_type 11,feature 70,2,resource_type 8,severity_type 1
event_type 35,feature 307,1,resource_type 2,severity_type 2
event_type 54,feature 80,3,resource_type 2,severity_type 2
event_type 23,feature 68,2,resource_type 6,severity_type 1
event_type 11,feature 201,3,resource_type 8,severity_type 1
event_type 35,feature 235,4,resource_type 2,severity_type 2
event_type 34,feature 312,1,resource_type 2,severity_type 2
event_type 13,feature 48,1,resource_type 7,severity_type 1
event_type 11,feature 170,1,resource_type 2,severity_type 1
event_type 23,feature 75,4,resource_type 8,severity_type 2
event_type 7,feature 80,5,resource_type 8,severity_type 1
event_type 34,feature 227,1,resource_type 2,severity_type 2
event_type 11,feature 73,2,resource_type 8,severity_type 1
event_type 11,feature 193,4,resource_type 8,severity_type 1
event_type 20,feature 219,1,resource_type 8,severity_type 1
event_type 44,feature 375,19,resource_type 2,severity_type 1
event_type 44,feature 376,3,resource_type 2,severity_type 4
event_type 54,feature 193,2,resource_type 2,severity_type 1
event_type 23,feature 179,1,resource_type 8,severity_type 1
event_type 11,feature 193,3,resource_type 8,severity_type 1
event_type 34,feature 233,6,resource_type 2,severity_type 2
event_type 34,feature 232,9,resource_type 2,severity_type 2
event_type 35,feature 312,1,resource_type 8,severity_type 2
event_type 34,feature 227,2,resource_type 2,severity_type 2
event_type 15,feature 82,26,resource_type 8,severity_type 2
event_type 34,feature 235,1,resource_type 2,severity_type 2
event_type 20,feature 54,5,resource_type 8,severity_type 1
event_type 11,feature 68,5,resource_type 8,severity_type 1
event_type 11,feature 273,1,resource_type 6,severity_type 1
event_type 11,feature 305,12,resource_type 8,severity_type 1
event_type 20,feature 301,2,resource_type 2,severity_type 1
event_type 32,feature 170,24,resource_type 8,severity_type 1
event_type 35,feature 232,1,resource_type 2,severity_type 1
event_type 20,feature 301,2,resource_type 2,severity_type 1
event_type 11,feature 203,15,resource_type 8,severity_type 1
event_type 34,feature 315,3,resource_type 2,severity_type 2
event_type 20,feature 55,2,resource_type 2,severity_type 1
event_type 43,feature 376,6,resource_type 2,severity_type 1
event_type 11,feature 345,1,resource_type 8,severity_type 1
event_type 34,feature 234,20,resource_type 2,severity_type 2
event_type 20,feature 134,1,resource_type 2,severity_type 1
event_type 34,feature 233,2,resource_type 2,severity_type 2
event_type 11,feature 193,2,resource_type 8,severity_type 1
event_type 3,feature 43,1,resource_type 8,severity_type 1
event_type 32,feature 219,1,resource_type 2,severity_type 1
event_type 42,feature 291,1,resource_type 2,severity_type 1
event_type 20,feature 307,2,resource_type 2,severity_type 1
event_type 11,feature 71,21,resource_type 2,severity_type 1
event_type 34,feature 307,4,resource_type 2,severity_type 2
event_type 14,feature 170,2,resource_type 4,severity_type 2
event_type 46,feature 369,1,resource_type 2,severity_type 1
event_type 35,feature 301,1,resource_type 2,severity_type 4
event_type 35,feature 227,1,resource_type 2,severity_type 2
event_type 11,feature 219,1,resource_type 8,severity_type 1
event_type 23,feature 87,3,resource_type 7,severity_type 2
event_type 35,feature 232,1,resource_type 2,severity_type 2
event_type 23,feature 170,1,resource_type 6,severity_type 1
event_type 34,feature 314,20,resource_type 2,severity_type 2
event_type 34,feature 312,4,resource_type 2,severity_type 1
event_type 22,feature 219,1,resource_type 2,severity_type 1
event_type 11,feature 167,2,resource_type 8,severity_type 1
event_type 15,feature 203,2,resource_type 8,severity_type 2
event_type 11,feature 345,8,resource_type 4,severity_type 1
event_type 13,feature 345,2,resource_type 10,severity_type 1
event_type 35,feature 232,1,resource_type 2,severity_type 2
event_type 11,feature 68,1,resource_type 8,severity_type 1
event_type 35,feature 301,1,resource_type 2,severity_type 1
event_type 11,feature 345,1,resource_type 6,severity_type 1
event_type 43,feature 368,40,resource_type 2,severity_type 1
event_type 34,feature 313,4,resource_type 2,severity_type 2
event_type 34,feature 316,2,resource_type 2,severity_type 2
event_type 10,feature 240,7,resource_type 9,severity_type 1
event_type 35,feature 312,1,resource_type 2,severity_type 2
event_type 34,feature 315,13,resource_type 2,severity_type 2
event_type 54,feature 360,1,resource_type 2,severity_type 1
event_type 11,feature 154,4,resource_type 3,severity_type 1
event_type 22,feature 69,2,resource_type 8,severity_type 1
event_type 35,feature 315,40,resource_type 2,severity_type 2
event_type 15,feature 82,20,resource_type 8,severity_type 2
event_type 34,feature 233,2,resource_type 2,severity_type 2
event_type 11,feature 62,1,resource_type 8,severity_type 1
event_type 42,feature 283,1,resource_type 2,severity_type 1
event_type 11,feature 71,52,resource_type 8,severity_type 1
event_type 11,feature 54,2,resource_type 6,severity_type 1
event_type 25,feature 364,1,resource_type 8,severity_type 3
event_type 11,feature 182,1,resource_type 8,severity_type 1
event_type 27,feature 218,3,resource_type 9,severity_type 1
event_type 34,feature 313,2,resource_type 2,severity_type 2
event_type 43,feature 291,5,resource_type 2,severity_type 1
event_type 28,feature 171,1,resource_type 3,severity_type 1
event_type 18,feature 255,1,resource_type 6,severity_type 1
event_type 3,feature 5,3,resource_type 8,severity_type 1
event_type 35,feature 234,3,resource_type 2,severity_type 2
event_type 11,feature 54,143,resource_type 8,severity_type 1
event_type 11,feature 47,7,resource_type 8,severity_type 1
event_type 35,feature 181,1,resource_type 8,severity_type 2
event_type 20,feature 134,1,resource_type 2,severity_type 1
event_type 13,feature 345,2,resource_type 7,severity_type 1
event_type 34,feature 232,1,resource_type 2,severity_type 2
event_type 11,feature 54,9,resource_type 8,severity_type 1
event_type 11,feature 54,55,resource_type 7,severity_type 1
event_type 10,feature 127,2,resource_type 9,severity_type 1
event_type 35,feature 354,4,resource_type 8,severity_type 1
event_type 34,feature 227,1,resource_type 2,severity_type 2
event_type 23,feature 306,2,resource_type 8,severity_type 2
event_type 15,feature 193,2,resource_type 8,severity_type 1
event_type 20,feature 284,1,resource_type 2,severity_type 1
event_type 23,feature 75,1,resource_type 7,severity_type 2
event_type 34,feature 235,111,resource_type 2,severity_type 2
event_type 15,feature 172,3,resource_type 1,severity_type 1
event_type 46,feature 285,16,resource_type 2,severity_type 1
event_type 35,feature 315,53,resource_type 2,severity_type 2
event_type 35,feature 230,2,resource_type 2,severity_type 1
event_type 34,feature 181,1,resource_type 2,severity_type 2
event_type 11,feature 193,10,resource_type 2,severity_type 1
event_type 43,feature 375,1,resource_type 2,severity_type 1
event_type 44,feature 368,5,resource_type 2,severity_type 1
event_type 1,feature 71,4,resource_type 8,severity_type 2
event_type 20,feature 219,1,resource_type 8,severity_type 1
event_type 34,feature 232,2,resource_type 8,severity_type 1
event_type 15,feature 193,15,resource_type 8,severity_type 1
event_type 11,feature 170,12,resource_type 8,severity_type 1
event_type 35,feature 301,2,resource_type 2,severity_type 2
event_type 11,feature 54,1,resource_type 8,severity_type 1
event_type 24,feature 219,1,resource_type 7,severity_type 1
event_type 21,feature 134,1,resource_type 2,severity_type 1
event_type 34,feature 233,65,resource_type 2,severity_type 2
event_type 11,feature 170,23,resource_type 8,severity_type 1
event_type 11,feature 70,1,resource_type 8,severity_type 1
event_type 35,feature 232,1,resource_type 8,severity_type 2
event_type 20,feature 219,1,resource_type 8,severity_type 1
event_type 35,feature 312,1,resource_type 2,severity_type 4
event_type 11,feature 68,1,resource_type 7,severity_type 2
event_type 15,feature 201,1,resource_type 8,severity_type 2
event_type 23,feature 306,3,resource_type 7,severity_type 2
event_type 34,feature 312,3,resource_type 2,severity_type 2
event_type 18,feature 250,2,resource_type 6,severity_type 1
event_type 11,feature 170,5,resource_type 8,severity_type 1
event_type 15,feature 203,6,resource_type 8,severity_type 2
event_type 34,feature 312,5,resource_type 2,severity_type 2
event_type 15,feature 193,1,resource_type 9,severity_type 2
event_type 34,feature 312,1,resource_type 2,severity_type 2
event_type 34,feature 95,1,resource_type 8,severity_type 1
event_type 43,feature 375,1,resource_type 2,severity_type 1
event_type 35,feature 312,1,resource_type 2,severity_type 2
event_type 35,feature 229,14,resource_type 2,severity_type 2
event_type 15,feature 203,6,resource_type 8,severity_type 2
event_type 11,feature 155,9,resource_type 8,severity_type 1
event_type 35,feature 227,1,resource_type 2,severity_type 2
event_type 13,feature 68,10,resource_type 6,severity_type 1
event_type 11,feature 179,1,resource_type 8,severity_type 1
event_type 35,feature 181,1,resource_type 8,severity_type 2
event_type 34,feature 307,1,resource_type 2,severity_type 2
event_type 11,feature 193,2,resource_type 2,severity_type 1
event_type 23,feature 273,1,resource_type 6,severity_type 1
event_type 15,feature 80,4,resource_type 8,severity_type 2
event_type 13,feature 170,12,resource_type 4,severity_type 1
event_type 20,feature 301,1,resource_type 2,severity_type 1
event_type 34,feature 232,1,resource_type 2,severity_type 2
event_type 11,feature 82,170,resource_type 8,severity_type 1
event_type 14,feature 304,2,resource_type 2,severity_type 1
event_type 34,feature 94,1,resource_type 2,severity_type 1
event_type 42,feature 283,8,resource_type 2,severity_type 1
event_type 35,feature 235,16,resource_type 2,severity_type 2
event_type 35,feature 312,2,resource_type 2,severity_type 2
event_type 34,feature 312,5,resource_type 2,severity_type 2
event_type 42,feature 283,9,resource_type 2,severity_type 1
event_type 20,feature 345,1,resource_type 4,severity_type 1
event_type 13,feature 345,1,resource_type 6,severity_type 1
event_type 15,feature 82,10,resource_type 8,severity_type 2
event_type 34,feature 232,1,resource_type 2,severity_type 2
event_type 34,feature 307,2,resource_type 2,severity_type 2
event_type 34,feature 310,1,resource_type 8,severity_type 1
event_type 34,feature 229,20,resource_type 2,severity_type 2
event_type 20,feature 219,1,resource_type 2,severity_type 1
event_type 20,feature 221,1,resource_type 2,severity_type 1
event_type 10,feature 154,2,resource_type 3,severity_type 1
event_type 11,feature 71,3,resource_type 8,severity_type 1
event_type 35,feature 312,21,resource_type 2,severity_type 2
event_type 6,feature 68,55,resource_type 8,severity_type 1
event_type 35,feature 230,28,resource_type 2,severity_type 2
event_type 11,feature 134,1,resource_type 2,severity_type 1
event_type 35,feature 232,3,resource_type 2,severity_type 1
event_type 35,feature 232,4,resource_type 2,severity_type 2
event_type 42,feature 283,2,resource_type 2,severity_type 1
event_type 35,feature 232,14,resource_type 2,severity_type 2
event_type 34,feature 301,1,resource_type 2,severity_type 1
event_type 42,feature 283,3,resource_type 2,severity_type 1
event_type 35,feature 312,1,resource_type 2,severity_type 2
event_type 13,feature 54,4,resource_type 6,severity_type 1
event_type 34,feature 227,1,resource_type 2,severity_type 2
event_type 11,feature 160,2,resource_type 8,severity_type 1
event_type 11,feature 219,1,resource_type 2,severity_type 1
event_type 34,feature 228,7,resource_type 2,severity_type 2
event_type 14,feature 68,2,resource_type 6,severity_type 1
event_type 34,feature 232,98,resource_type 2,severity_type 2
event_type 35,feature 233,6,resource_type 2,severity_type 2
event_type 11,feature 68,115,resource_type 4,severity_type 1
event_type 11,feature 114,2,resource_type 8,severity_type 2
event_type 34,feature 309,15,resource_type 2,severity_type 2
event_type 22,feature 222,1,resource_type 7,severity_type 2
event_type 54,feature 193,2,resource_type 2,severity_type 1
event_type 14,feature 170,14,resource_type 8,severity_type 1
event_type 35,feature 232,13,resource_type 2,severity_type 2
event_type 14,feature 68,2,resource_type 4,severity_type 1
event_type 15,feature 203,3,resource_type 8,severity_type 2
event_type 23,feature 273,1,resource_type 7,severity_type 1
event_type 35,feature 234,1,resource_type 2,severity_type 2
event_type 35,feature 312,19,resource_type 2,severity_type 2
event_type 35,feature 314,1,resource_type 2,severity_type 2
event_type 11,feature 87,1,resource_type 8,severity_type 1
event_type 35,feature 232,2,resource_type 2,severity_type 2
