id,event_type,log_feature,volume,resource_type,severity_type
4905,event_type 34,feature 313,5,resource_type 2,severity_type 2
5480,event_type 34,feature 233,2,resource_type 2,severity_type 2
5259,event_type 11,feature 80,1,resource_type 2,severity_type 1
14998,event_type 15,feature 82,47,resource_type 8,severity_type 2
2571,event_type 44,feature 293,15,resource_type 2,severity_type 1
13504,event_type 15,feature 82,6,resource_type 8,severity_type 2
7378,event_type 39,feature 383,1,resource_type 9,severity_type 1
16543,event_type 34,feature 313,1,resource_type 2,severity_type 2
1534,event_type 34,feature 309,1,resource_type 2,severity_type 2
3022,event_type 35,feature 227,1,resource_type 2,severity_type 2
3286,event_type 26,feature 276,1,resource_type 8,severity_type 2
7781,event_type 43,feature 291,3,resource_type 2,severity_type 1
8133,event_type 34,feature 234,11,resource_type 2,severity_type 2
10268,event_type 44,feature 375,11,resource_type 2,severity_type 1
15506,event_type 11,feature 304,1,resource_type 4,severity_type 1
2846,event_type 35,feature 232,1,resource_type 2,severity_type 2
2592,event_type 15,feature 203,7,resource_type 8,severity_type 2
14988,event_type 34,feature 232,2,resource_type 2,severity_type 2
11707,event_type 44,feature 368,11,resource_type 2,severity_type 1
12010,event_type 34,feature 232,1,resource_type 2,severity_type 2
10396,event_type 34,feature 312,5,resource_type 2,severity_type 2
357,event_type 44,feature 290,4,resource_type 2,severity_type 1
15996,event_type 11,feature 209,1,resource_type 8,severity_type 1
17306,event_type 11,feature 221,1,resource_type 8,severity_type 1
13892,event_type 34,feature 312,177,resource_type 2,severity_type 2
14125,event_type 11,feature 62,1,resource_type 8,severity_type 1
6222,event_type 11,feature 170,2,resource_type 8,severity_type 1
15493,event_type 20,feature 134,2,resource_type 2,severity_type 1
663,event_type 54,feature 80,8,resource_type 8,severity_type 1
3456,event_type 14,feature 222,1,resource_type 6,severity_type 1
1379,event_type 14,feature 30,1,resource_type 2,severity_type 1
4438,event_type 35,feature 134,1,resource_type 2,severity_type 1
4929,event_type 23,feature 306,1,resource_type 7,severity_type 2
18104,event_type 34,feature 181,1,resource_type 8,severity_type 2
1379,event_type 20,feature 134,1,resource_type 7,severity_type 1
16476,event_type 13,feature 68,13,resource_type 6,severity_type 1
12269,event_type 20,feature 134,1,resource_type 8,severity_type 1
11546,event_type 11,feature 171,14,resource_type 8,severity_type 1
1971,event_type 10,feature 240,1,resource_type 9,severity_type 1
10185,event_type 15,feature 82,75,resource_type 8,severity_type 1
6153,event_type 54,feature 82,8,resource_type 2,severity_type 1
4756,event_type 20,feature 306,1,resource_type 2,severity_type 1
11696,event_type 11,feature 350,1,resource_type 8,severity_type 1
10382,event_type 35,feature 315,1,resource_type 2,severity_type 2
1921,event_type 34,feature 309,22,resource_type 2,severity_type 2
14406,event_type 11,feature 305,2,resource_type 8,severity_type 1
3172,event_type 35,feature 227,7,resource_type 2,severity_type 2
18412,event_type 20,feature 133,2,resource_type 2,severity_type 1
14672,event_type 11,feature 306,2,resource_type 7,severity_type 1
10181,event_type 11,feature 181,1,resource_type 2,severity_type 1
9498,event_type 35,feature 160,1,resource_type 2,severity_type 1
1379,event_type 23,feature 306,1,resource_type 2,severity_type 1
4816,event_type 11,feature 134,1,resource_type 2,severity_type 1
10619,event_type 35,feature 312,1,resource_type 2,severity_type 2
6198,event_type 11,feature 201,24,resource_type 1,severity_type 1
14160,event_type 35,feature 312,2,resource_type 2,severity_type 2
1867,event_type 34,feature 234,27,resource_type 2,severity_type 2
6284,event_type 23,feature 90,1,resource_type 7,severity_type 1
9222,event_type 34,feature 307,1,resource_type 2,severity_type 2
2926,event_type 11,feature 80,6,resource_type 8,severity_type 1
6962,event_type 20,feature 312,10,resource_type 2,severity_type 1
17344,event_type 23,feature 306,1,resource_type 8,severity_type 1
2219,event_type 11,feature 54,1,resource_type 8,severity_type 1
3054,event_type 20,feature 219,1,resource_type 8,severity_type 1
1379,event_type 22,feature 306,1,resource_type 8,severity_type 1
17334,event_type 34,feature 235,2,resource_type 2,severity_type 2
18365,event_type 34,feature 312,1,resource_type 2,severity_type 2
12490,event_type 11,feature 71,1,resource_type 8,severity_type 1
17506,event_type 11,feature 193,2,resource_type 8,severity_type 1
18010,event_type 13,feature 273,1,resource_type 6,severity_type 1
14879,event_type 35,feature 228,1,resource_type 2,severity_type 2
17460,event_type 15,feature 203,1,resource_type 8,severity_type 1
11552,event_type 18,feature 273,2,resource_type 10,severity_type 1
17172,event_type 44,feature 283,2,resource_type 2,severity_type 1
4689,event_type 20,feature 134,1,resource_type 2,severity_type 1
17255,event_type 35,feature 232,2,resource_type 2,severity_type 2
15717,event_type 35,feature 314,2,resource_type 2,severity_type 2
12865,event_type 11,feature 314,2,resource_type 8,severity_type 1
15953,event_type 35,feature 308,9,resource_type 2,severity_type 2
17973,event_type 23,feature 306,1,resource_type 8,severity_type 1
18415,event_type 34,feature 312,4,resource_type 2,severity_type 2
1636,event_type 35,feature 235,5,resource_type 2,severity_type 2
16312,event_type 34,feature 307,2,resource_type 2,severity_type 2
3742,event_type 11,feature 273,4,resource_type 2,severity_type 1
6491,event_type 15,feature 56,2,resource_type 2,severity_type 1
5633,event_type 15,feature 71,2,resource_type 8,severity_type 2
12186,event_type 23,feature 58,1,resource_type 8,severity_type 1
2097,event_type 11,feature 54,9,resource_type 6,severity_type 1
4266,event_type 11,feature 318,4,resource_type 2,severity_type 1
16764,event_type 14,feature 68,1,resource_type 8,severity_type 1
13660,event_type 42,feature 376,13,resource_type 2,severity_type 1
5958,event_type 34,feature 315,1,resource_type 2,severity_type 2
7103,event_type 20,feature 154,1,resource_type 2,severity_type 1
5009,event_type 13,feature 273,1,resource_type 6,severity_type 1
8041,event_type 35,feature 312,18,resource_type 2,severity_type 2
8994,event_type 34,feature 312,1,resource_type 2,severity_type 2
9776,event_type 15,feature 71,6,resource_type 8,severity_type 1
12970,event_type 11,feature 170,2,resource_type 8,severity_type 2
13786,event_type 20,feature 219,9,resource_type 8,severity_type 1
14605,event_type 11,feature 206,6,resource_type 8,severity_type 1
2074,event_type 34,feature 232,16,resource_type 2,severity_type 2
7560,event_type 35,feature 228,3,resource_type 2,severity_type 2
3462,event_type 15,feature 80,5,resource_type 8,severity_type 2
15754,event_type 34,feature 312,1,resource_type 2,severity_type 2
1148,event_type 20,feature 219,1,resource_type 2,severity_type 1
15693,event_type 11,feature 74,1,resource_type 8,severity_type 1
6925,event_type 35,feature 313,47,resource_type 2,severity_type 2
16107,event_type 11,feature 71,1,resource_type 8,severity_type 1
8275,event_type 13,feature 170,1,resource_type 6,severity_type 1
14038,event_type 20,feature 134,1,resource_type 2,severity_type 1
1217,event_type 34,feature 234,2,resource_type 2,severity_type 2
11157,event_type 11,feature 70,2,resource_type 8,severity_type 2
2334,event_type 34,feature 229,48,resource_type 2,severity_type 2
7378,event_type 11,feature 55,1,resource_type 5,severity_type 1
6545,event_type 13,feature 273,1,resource_type 8,severity_type 1
5430,event_type 11,feature 235,2,resource_type 2,severity_type 1
5202,event_type 23,feature 222,8,resource_type 7,severity_type 1
14970,event_type 35,feature 94,4,resource_type 2,severity_type 1
17370,event_type 11,feature 182,1,resource_type 8,severity_type 1
13206,event_type 9,feature 219,2,resource_type 8,severity_type 1
5995,event_type 34,feature 232,1,resource_type 2,severity_type 2
12183,event_type 35,feature 315,2,resource_type 2,severity_type 2
146,event_type 35,feature 312,6,resource_type 2,severity_type 2
16756,event_type 11,feature 54,4,resource_type 4,severity_type 1
13546,event_type 34,feature 354,1,resource_type 8,severity_type 1
11421,event_type 11,feature 81,2,resource_type 8,severity_type 1
4813,event_type 11,feature 71,2,resource_type 8,severity_type 1
18076,event_type 11,feature 219,1,resource_type 8,severity_type 1
16268,event_type 11,feature 345,1,resource_type 8,severity_type 1
7296,event_type 11,feature 71,6,resource_type 2,severity_type 1
16900,event_type 11,feature 73,11,resource_type 8,severity_type 1
2452,event_type 35,feature 44,1,resource_type 2,severity_type 1
5184,event_type 15,feature 137,1,resource_type 8,severity_type 1
7576,event_type 11,feature 75,8,resource_type 7,severity_type 2
2114,event_type 54,feature 198,3,resource_type 8,severity_type 1
4266,event_type 20,feature 54,9,resource_type 4,severity_type 1
16555,event_type 35,feature 312,5,resource_type 2,severity_type 2
11651,event_type 34,feature 307,1,resource_type 2,severity_type 2
626,event_type 34,feature 311,6,resource_type 2,severity_type 2
8385,event_type 43,feature 376,1,resource_type 2,severity_type 2
2190,event_type 11,feature 203,11,resource_type 2,severity_type 1
11566,event_type 35,feature 310,3,resource_type 2,severity_type 2
11696,event_type 14,feature 68,1,resource_type 2,severity_type 1
6235,event_type 44,feature 283,43,resource_type 2,severity_type 1
917,event_type 35,feature 312,3,resource_type 2,severity_type 2
1658,event_type 34,feature 313,6,resource_type 2,severity_type 2
16363,event_type 32,feature 170,1,resource_type 8,severity_type 1
11078,event_type 42,feature 290,5,resource_type 2,severity_type 1
11374,event_type 44,feature 290,4,resource_type 2,severity_type 1
14672,event_type 23,feature 306,2,resource_type 2,severity_type 1
6625,event_type 35,feature 312,6,resource_type 2,severity_type 2
14531,event_type 34,feature 312,4,resource_type 2,severity_type 2
8676,event_type 35,feature 232,1,resource_type 2,severity_type 2
15652,event_type 44,feature 283,34,resource_type 2,severity_type 1
17100,event_type 35,feature 229,1,resource_type 2,severity_type 2
190,event_type 34,feature 234,2,resource_type 2,severity_type 2
12752,event_type 34,feature 235,38,resource_type 2,severity_type 2
14895,event_type 14,feature 163,3,resource_type 8,severity_type 1
16360,event_type 35,feature 315,1,resource_type 2,severity_type 2
6571,event_type 35,feature 227,1,resource_type 2,severity_type 2
4757,event_type 35,feature 232,4,resource_type 2,severity_type 2
406,event_type 20,feature 305,1,resource_type 8,severity_type 1
3270,event_type 54,feature 219,1,resource_type 2,severity_type 1
12201,event_type 35,feature 228,23,resource_type 2,severity_type 2
14516,event_type 43,feature 368,1,resource_type 2,severity_type 1
16583,event_type 35,feature 301,2,resource_type 2,severity_type 1
420,event_type 11,feature 306,1,resource_type 7,severity_type 1
13631,event_type 11,feature 193,2,resource_type 8,severity_type 1
69,event_type 11,feature 82,2,resource_type 8,severity_type 1
15923,event_type 35,feature 227,2,resource_type 2,severity_type 2
10130,event_type 35,feature 312,1,resource_type 2,severity_type 2
10300,event_type 35,feature 313,2,resource_type 2,severity_type 2
622,event_type 23,feature 75,1,resource_type 7,severity_type 2
17739,event_type 34,feature 233,2,resource_type 2,severity_type 2
12186,event_type 23,feature 134,1,resource_type 7,severity_type 1
1184,event_type 22,feature 54,4,resource_type 2,severity_type 1
13894,event_type 11,feature 305,1,resource_type 8,severity_type 2
2318,event_type 20,feature 312,1,resource_type 8,severity_type 1
13037,event_type 35,feature 232,3,resource_type 2,severity_type 2
10831,event_type 35,feature 311,2,resource_type 2,severity_type 2
10609,event_type 18,feature 258,1,resource_type 10,severity_type 1
14132,event_type 35,feature 315,1,resource_type 2,severity_type 4
16816,event_type 22,feature 222,1,resource_type 7,severity_type 2
3385,event_type 35,feature 232,3,resource_type 2,severity_type 2
7841,event_type 11,feature 202,10,resource_type 8,severity_type 1
7009,event_type 34,feature 312,3,resource_type 2,severity_type 2
6405,event_type 11,feature 81,8,resource_type 8,severity_type 2
11380,event_type 34,feature 234,1,resource_type 2,severity_type 2
1616,event_type 11,feature 55,2,resource_type 5,severity_type 1
6668,event_type 43,feature 375,6,resource_type 2,severity_type 1
15632,event_type 34,feature 235,1,resource_type 2,severity_type 2
2906,event_type 15,feature 56,2,resource_type 8,severity_type 2
11047,event_type 35,feature 307,2,resource_type 2,severity_type 2
2560,event_type 34,feature 308,2,resource_type 2,severity_type 2
10953,event_type 34,feature 312,1,resource_type 2,severity_type 2
3745,event_type 20,feature 68,1,resource_type 8,severity_type 1
1379,event_type 20,feature 222,2,resource_type 6,severity_type 1
18108,event_type 11,feature 94,2,resource_type 2,severity_type 1
4607,event_type 35,feature 44,1,resource_type 8,severity_type 1
406,event_type 20,feature 305,1,resource_type 4,severity_type 1
12046,event_type 22,feature 306,9,resource_type 8,severity_type 1
4756,event_type 20,feature 169,2,resource_type 4,severity_type 1
843,event_type 43,feature 368,4,resource_type 2,severity_type 1
15309,event_type 34,feature 307,2,resource_type 2,severity_type 1
6280,event_type 34,feature 312,34,resource_type 2,severity_type 2
2299,event_type 34,feature 232,2,resource_type 2,severity_type 2
11006,event_type 26,feature 193,1,resource_type 9,severity_type 2
15821,event_type 42,feature 283,27,resource_type 2,severity_type 1
5546,event_type 35,feature 314,2,resource_type 2,severity_type 4
417,event_type 23,feature 222,1,resource_type 7,severity_type 2
11493,event_type 11,feature 312,6,resource_type 8,severity_type 1
13056,event_type 23,feature 223,4,resource_type 8,severity_type 1
16533,event_type 11,feature 82,2,resource_type 8,severity_type 1
8498,event_type 35,feature 315,1,resource_type 2,severity_type 2
13179,event_type 15,feature 71,2,resource_type 8,severity_type 1
12493,event_type 35,feature 312,2,resource_type 2,severity_type 1
6024,event_type 35,feature 219,2,resource_type 2,severity_type 1
8981,event_type 20,feature 374,2,resource_type 2,severity_type 1
9959,event_type 11,feature 68,4,resource_type 6,severity_type 1
7369,event_type 15,feature 201,1,resource_type 8,severity_type 2
17713,event_type 54,feature 222,1,resource_type 8,severity_type 1
5618,event_type 35,feature 314,4,resource_type 2,severity_type 2
7039,event_type 11,feature 179,1,resource_type 8,severity_type 2
5738,event_type 35,feature 232,2,resource_type 2,severity_type 2
11696,event_type 22,feature 89,1,resource_type 8,severity_type 1
8425,event_type 11,feature 54,3,resource_type 8,severity_type 2
917,event_type 34,feature 312,3,resource_type 2,severity_type 2
4873,event_type 35,feature 312,3,resource_type 2,severity_type 2
1379,event_type 11,feature 179,14,resource_type 4,severity_type 1
17960,event_type 44,feature 283,17,resource_type 2,severity_type 1
5159,event_type 35,feature 312,1,resource_type 2,severity_type 2
2392,event_type 11,feature 172,1,resource_type 8,severity_type 1
6633,event_type 11,feature 154,1,resource_type 9,severity_type 1
1921,event_type 34,feature 231,2,resource_type 2,severity_type 2
663,event_type 15,feature 80,8,resource_type 2,severity_type 1
14007,event_type 35,feature 232,1,resource_type 2,severity_type 2
11907,event_type 35,feature 307,2,resource_type 2,severity_type 2
5353,event_type 54,feature 56,2,resource_type 2,severity_type 1
13334,event_type 11,feature 70,2,resource_type 8,severity_type 1
11402,event_type 35,feature 307,1,resource_type 2,severity_type 2
10713,event_type 54,feature 80,3,resource_type 2,severity_type 2
16268,event_type 23,feature 68,2,resource_type 6,severity_type 1
10059,event_type 11,feature 201,3,resource_type 8,severity_type 1
4646,event_type 35,feature 235,4,resource_type 2,severity_type 2
12676,event_type 34,feature 312,1,resource_type 2,severity_type 2
16268,event_type 13,feature 48,1,resource_type 7,severity_type 1
15410,event_type 11,feature 170,1,resource_type 2,severity_type 1
1324,event_type 23,feature 75,4,resource_type 8,severity_type 2
2917,event_type 7,feature 80,5,resource_type 8,severity_type 1
15939,event_type 34,feature 227,1,resource_type 2,severity_type 2
16999,event_type 11,feature 73,2,resource_type 8,severity_type 1
8190,event_type 11,feature 193,4,resource_type 8,severity_type 1
11976,event_type 20,feature 219,1,resource_type 8,severity_type 1
17365,event_type 44,feature 375,19,resource_type 2,severity_type 1
6061,event_type 44,feature 376,3,resource_type 2,severity_type 4
13756,event_type 54,feature 193,2,resource_type 2,severity_type 1
12441,event_type 23,feature 179,1,resource_type 8,severity_type 1
742,event_type 11,feature 193,3,resource_type 8,severity_type 1
8469,event_type 34,feature 233,6,resource_type 2,severity_type 2
3457,event_type 34,feature 232,9,resource_type 2,severity_type 2
2397,event_type 35,feature 312,1,resource_type 8,severity_type 2
1936,event_type 34,feature 227,2,resource_type 2,severity_type 2
8284,event_type 15,feature 82,26,resource_type 8,severity_type 2
5598,event_type 34,feature 235,1,resource_type 2,severity_type 2
11696,event_type 20,feature 54,5,resource_type 8,severity_type 1
3682,event_type 11,feature 68,5,resource_type 8,severity_type 1
6321,event_type 11,feature 273,1,resource_type 6,severity_type 1
12046,event_type 11,feature 305,12,resource_type 8,severity_type 1
11947,event_type 20,feature 301,2,resource_type 2,severity_type 1
14171,event_type 32,feature 170,24,resource_type 8,severity_type 1
13623,event_type 35,feature 232,1,resource_type 2,severity_type 1
6024,event_type 20,feature 301,2,resource_type 2,severity_type 1
7432,event_type 11,feature 203,15,resource_type 8,severity_type 1
16116,event_type 34,feature 315,3,resource_type 2,severity_type 2
6885,event_type 20,feature 55,2,resource_type 2,severity_type 1
1814,event_type 43,feature 376,6,resource_type 2,severity_type 1
2184,event_type 11,feature 345,1,resource_type 8,severity_type 1
11719,event_type 34,feature 234,20,resource_type 2,severity_type 2
14672,event_type 20,feature 134,1,resource_type 2,severity_type 1
9539,event_type 34,feature 233,2,resource_type 2,severity_type 2
1415,event_type 11,feature 193,2,resource_type 8,severity_type 1
12003,event_type 3,feature 43,1,resource_type 8,severity_type 1
12186,event_type 32,feature 219,1,resource_type 2,severity_type 1
17262,event_type 42,feature 291,1,resource_type 2,severity_type 1
5473,event_type 20,feature 307,2,resource_type 2,severity_type 1
7126,event_type 11,feature 71,21,resource_type 2,severity_type 1
14727,event_type 34,feature 307,4,resource_type 2,severity_type 2
12970,event_type 14,feature 170,2,resource_type 4,severity_type 2
2302,event_type 46,feature 369,1,resource_type 2,severity_type 1
13128,event_type 35,feature 301,1,resource_type 2,severity_type 4
15313,event_type 35,feature 227,1,resource_type 2,severity_type 2
13996,event_type 11,feature 219,1,resource_type 8,severity_type 1
8132,event_type 23,feature 87,3,resource_type 7,severity_type 2
1664,event_type 35,feature 232,1,resource_type 2,severity_type 2
9361,event_type 23,feature 170,1,resource_type 6,severity_type 1
7262,event_type 34,feature 314,20,resource_type 2,severity_type 2
2631,event_type 34,feature 312,4,resource_type 2,severity_type 1
1379,event_type 22,feature 219,1,resource_type 2,severity_type 1
1709,event_type 11,feature 167,2,resource_type 8,severity_type 1
8079,event_type 15,feature 203,2,resource_type 8,severity_type 2
2954,event_type 11,feature 345,8,resource_type 4,severity_type 1
9867,event_type 13,feature 345,2,resource_type 10,severity_type 1
17835,event_type 35,feature 232,1,resource_type 2,severity_type 2
12261,event_type 11,feature 68,1,resource_type 8,severity_type 1
6122,event_type 35,feature 301,1,resource_type 2,severity_type 1
2258,event_type 11,feature 345,1,resource_type 6,severity_type 1
6083,event_type 43,feature 368,40,resource_type 2,severity_type 1
4259,event_type 34,feature 313,4,resource_type 2,severity_type 2
1165,event_type 34,feature 316,2,resource_type 2,severity_type 2
17267,event_type 10,feature 240,7,resource_type 9,severity_type 1
4903,event_type 35,feature 312,1,resource_type 2,severity_type 2
14567,event_type 34,feature 315,13,resource_type 2,severity_type 2
10016,event_type 54,feature 360,1,resource_type 2,severity_type 1
11156,event_type 11,feature 154,4,resource_type 3,severity_type 1
11696,event_type 22,feature 69,2,resource_type 8,severity_type 1
11463,event_type 35,feature 315,40,resource_type 2,severity_type 2
9444,event_type 15,feature 82,20,resource_type 8,severity_type 2
12763,event_type 34,feature 233,2,resource_type 2,severity_type 2
14703,event_type 11,feature 62,1,resource_type 8,severity_type 1
17566,event_type 42,feature 283,1,resource_type 2,severity_type 1
5497,event_type 11,feature 71,52,resource_type 8,severity_type 1
15028,event_type 11,feature 54,2,resource_type 6,severity_type 1
15786,event_type 25,feature 364,1,resource_type 8,severity_type 3
14006,event_type 11,feature 182,1,resource_type 8,severity_type 1
1321,event_type 27,feature 218,3,resource_type 9,severity_type 1
1714,event_type 34,feature 313,2,resource_type 2,severity_type 2
18180,event_type 43,feature 291,5,resource_type 2,severity_type 1
3278,event_type 28,feature 171,1,resource_type 3,severity_type 1
6347,event_type 18,feature 255,1,resource_type 6,severity_type 1
13663,event_type 3,feature 5,3,resource_type 8,severity_type 1
7118,event_type 35,feature 234,3,resource_type 2,severity_type 2
13901,event_type 11,feature 54,143,resource_type 8,severity_type 1
4970,event_type 11,feature 47,7,resource_type 8,severity_type 1
2105,event_type 35,feature 181,1,resource_type 8,severity_type 2
10528,event_type 20,feature 134,1,resource_type 2,severity_type 1
12441,event_type 13,feature 345,2,resource_type 7,severity_type 1
15241,event_type 34,feature 232,1,resource_type 2,severity_type 2
10696,event_type 11,feature 54,9,resource_type 8,severity_type 1
1379,event_type 11,feature 54,55,resource_type 7,severity_type 1
1619,event_type 10,feature 127,2,resource_type 9,severity_type 1
14970,event_type 35,feature 354,4,resource_type 8,severity_type 1
2118,event_type 34,feature 227,1,resource_type 2,severity_type 2
13338,event_type 23,feature 306,2,resource_type 8,severity_type 2
15915,event_type 15,feature 193,2,resource_type 8,severity_type 1
1447,event_type 20,feature 284,1,resource_type 2,severity_type 1
12528,event_type 23,feature 75,1,resource_type 7,severity_type 2
10024,event_type 34,feature 235,111,resource_type 2,severity_type 2
2917,event_type 15,feature 172,3,resource_type 1,severity_type 1
5157,event_type 46,feature 285,16,resource_type 2,severity_type 1
14032,event_type 35,feature 315,53,resource_type 2,severity_type 2
4042,event_type 35,feature 230,2,resource_type 2,severity_type 1
10576,event_type 34,feature 181,1,resource_type 2,severity_type 2
1264,event_type 11,feature 193,10,resource_type 2,severity_type 1
6147,event_type 43,feature 375,1,resource_type 2,severity_type 1
2606,event_type 44,feature 368,5,resource_type 2,severity_type 1
4630,event_type 1,feature 71,4,resource_type 8,severity_type 2
9643,event_type 20,feature 219,1,resource_type 8,severity_type 1
9498,event_type 34,feature 232,2,resource_type 8,severity_type 1
5196,event_type 15,feature 193,15,resource_type 8,severity_type 1
6800,event_type 11,feature 170,12,resource_type 8,severity_type 1
14079,event_type 35,feature 301,2,resource_type 2,severity_type 2
7194,event_type 11,feature 54,1,resource_type 8,severity_type 1
5138,event_type 24,feature 219,1,resource_type 7,severity_type 1
12613,event_type 21,feature 134,1,resource_type 2,severity_type 1
4558,event_type 34,feature 233,65,resource_type 2,severity_type 2
733,event_type 11,feature 170,23,resource_type 8,severity_type 1
15993,event_type 11,feature 70,1,resource_type 8,severity_type 1
8470,event_type 35,feature 232,1,resource_type 8,severity_type 2
11352,event_type 20,feature 219,1,resource_type 8,severity_type 1
13261,event_type 35,feature 312,1,resource_type 2,severity_type 4
4929,event_type 11,feature 68,1,resource_type 7,severity_type 2
6575,event_type 15,feature 201,1,resource_type 8,severity_type 2
9402,event_type 23,feature 306,3,resource_type 7,severity_type 2
10238,event_type 34,feature 312,3,resource_type 2,severity_type 2
5009,event_type 18,feature 250,2,resource_type 6,severity_type 1
6872,event_type 11,feature 170,5,resource_type 8,severity_type 1
12959,event_type 15,feature 203,6,resource_type 8,severity_type 2
3911,event_type 34,feature 312,5,resource_type 2,severity_type 2
11006,event_type 15,feature 193,1,resource_type 9,severity_type 2
4883,event_type 34,feature 312,1,resource_type 2,severity_type 2
5329,event_type 34,feature 95,1,resource_type 8,severity_type 1
11042,event_type 43,feature 375,1,resource_type 2,severity_type 1
15789,event_type 35,feature 312,1,resource_type 2,severity_type 2
11424,event_type 35,feature 229,14,resource_type 2,severity_type 2
3268,event_type 15,feature 203,6,resource_type 8,severity_type 2
12314,event_type 11,feature 155,9,resource_type 8,severity_type 1
2613,event_type 35,feature 227,1,resource_type 2,severity_type 2
11291,event_type 13,feature 68,10,resource_type 6,severity_type 1
12264,event_type 11,feature 179,1,resource_type 8,severity_type 1
16966,event_type 35,feature 181,1,resource_type 8,severity_type 2
18231,event_type 34,feature 307,1,resource_type 2,severity_type 2
263,event_type 11,feature 193,2,resource_type 2,severity_type 1
3054,event_type 23,feature 273,1,resource_type 6,severity_type 1
15830,event_type 15,feature 80,4,resource_type 8,severity_type 2
9976,event_type 13,feature 170,12,resource_type 4,severity_type 1
15232,event_type 20,feature 301,1,resource_type 2,severity_type 1
17847,event_type 34,feature 232,1,resource_type 2,severity_type 2
3063,event_type 11,feature 82,170,resource_type 8,severity_type 1
3742,event_type 14,feature 304,2,resource_type 2,severity_type 1
